zipcode,,price,distance to subway
10001.0,price,1.0,0.43109727978210705
10001.0,distance to subway,0.43109727978210705,1.0
10002.0,price,1.0,-0.32718995896915143
10002.0,distance to subway,-0.32718995896915143,1.0
10003.0,price,1.0,0.17234552320684343
10003.0,distance to subway,0.17234552320684343,1.0
10004.0,price,1.0,0.5083296000493358
10004.0,distance to subway,0.5083296000493358,1.0
10005.0,price,1.0,-0.09659228143027182
10005.0,distance to subway,-0.09659228143027182,1.0
10006.0,price,1.0,0.3647840701035612
10006.0,distance to subway,0.3647840701035612,1.0
10007.0,price,1.0,-0.036521853992558
10007.0,distance to subway,-0.036521853992558,1.0
10009.0,price,1.0,-0.2941520741581437
10009.0,distance to subway,-0.2941520741581437,1.0
10010.0,price,1.0,-0.25831522057576783
10010.0,distance to subway,-0.25831522057576783,1.0
10011.0,price,1.0,0.16734342036525499
10011.0,distance to subway,0.16734342036525499,1.0
10012.0,price,1.0,-0.06307637521675295
10012.0,distance to subway,-0.06307637521675295,1.0
10013.0,price,1.0,-0.11091769227445404
10013.0,distance to subway,-0.11091769227445404,1.0
10014.0,price,1.0,0.12808712342512857
10014.0,distance to subway,0.12808712342512857,1.0
10016.0,price,1.0,-0.17571420243436636
10016.0,distance to subway,-0.17571420243436636,1.0
10017.0,price,1.0,0.3209306269324074
10017.0,distance to subway,0.3209306269324074,1.0
10018.0,price,1.0,0.04289338936069148
10018.0,distance to subway,0.04289338936069148,1.0
10019.0,price,1.0,-0.11720320334895239
10019.0,distance to subway,-0.11720320334895239,1.0
10021.0,price,1.0,-0.19190894356948718
10021.0,distance to subway,-0.19190894356948718,1.0
10022.0,price,1.0,-0.18909225205250413
10022.0,distance to subway,-0.18909225205250413,1.0
10023.0,price,1.0,-0.1823586083024119
10023.0,distance to subway,-0.1823586083024119,1.0
10024.0,price,1.0,-0.21957226963255627
10024.0,distance to subway,-0.21957226963255627,1.0
10025.0,price,1.0,0.03023437740311266
10025.0,distance to subway,0.03023437740311266,1.0
10026.0,price,1.0,-0.3184823948654322
10026.0,distance to subway,-0.3184823948654322,1.0
10027.0,price,1.0,0.17709744528895308
10027.0,distance to subway,0.17709744528895308,1.0
10028.0,price,1.0,-0.07725721881287141
10028.0,distance to subway,-0.07725721881287141,1.0
10029.0,price,1.0,0.07288051072130572
10029.0,distance to subway,0.07288051072130572,1.0
10030.0,price,1.0,-0.11618867643842572
10030.0,distance to subway,-0.11618867643842572,1.0
10031.0,price,1.0,-0.01621570214804591
10031.0,distance to subway,-0.01621570214804591,1.0
10032.0,price,1.0,0.05000223659108668
10032.0,distance to subway,0.05000223659108668,1.0
10033.0,price,1.0,0.14413959310689067
10033.0,distance to subway,0.14413959310689067,1.0
10034.0,price,1.0,0.0031396985207994043
10034.0,distance to subway,0.0031396985207994043,1.0
10035.0,price,1.0,-0.018542276239566034
10035.0,distance to subway,-0.018542276239566034,1.0
10036.0,price,1.0,0.18631552754971614
10036.0,distance to subway,0.18631552754971614,1.0
10037.0,price,1.0,0.14486884532868055
10037.0,distance to subway,0.14486884532868055,1.0
10038.0,price,1.0,-0.17246276969365928
10038.0,distance to subway,-0.17246276969365928,1.0
10039.0,price,1.0,-0.3072475545708144
10039.0,distance to subway,-0.3072475545708144,1.0
10040.0,price,1.0,-0.12311827670608833
10040.0,distance to subway,-0.12311827670608833,1.0
10044.0,price,1.0,-0.1882851529606537
10044.0,distance to subway,-0.1882851529606537,1.0
10065.0,price,1.0,-0.16257834672235796
10065.0,distance to subway,-0.16257834672235796,1.0
10069.0,price,1.0,0.11979801931418889
10069.0,distance to subway,0.11979801931418889,1.0
10075.0,price,1.0,-0.23568816531437886
10075.0,distance to subway,-0.23568816531437886,1.0
10128.0,price,1.0,-0.08973104675135225
10128.0,distance to subway,-0.08973104675135225,1.0
10280.0,price,1.0,0.228697223500503
10280.0,distance to subway,0.228697223500503,1.0
10282.0,price,1.0,-0.6151455140536638
10282.0,distance to subway,-0.6151455140536638,1.0
11101.0,price,1.0,0.1880383918510772
11101.0,distance to subway,0.1880383918510772,1.0
11102.0,price,1.0,0.2549222779944686
11102.0,distance to subway,0.2549222779944686,1.0
11103.0,price,1.0,-0.0808778298645721
11103.0,distance to subway,-0.0808778298645721,1.0
11104.0,price,1.0,-0.1625080102035931
11104.0,distance to subway,-0.1625080102035931,1.0
11105.0,price,1.0,0.24359485312064616
11105.0,distance to subway,0.24359485312064616,1.0
11106.0,price,1.0,0.22624260659651305
11106.0,distance to subway,0.22624260659651305,1.0
